MoveNr.;activePlayer;fieldString;lastMove;bulletsCapturedWhite;bulletsCapturedBlack;timeRemainingWhite;timeRemainingBlack;timeUsedForLastMove
1;2;2200033220103300111000111110001110033010223300022;;0;0;20000;20000;
2;3;2000033220103302111000111110001110033010223300022;b1-b2;0;0;19662;20000;338
3;2;2000033220103302111000111110031110033010223000022;b7-b6;0;0;19662;16966;3034
4;3;2000033200103302111000211110011110033010223300022;b2-b3;0;0;17539;16966;2123
5;2;2000033200103302111000211110011110003310223300022;a6-b6;0;0;17539;16893;73
6;2;2000033200103300111000211110021110001310223300022;b3-b4x;0;0;17511;16893;28
7;3;2000033200103300111000021111021110001310223300022;b4-c4;0;0;17475;16893;36
8;2;2000003200103300111300021111021110001310223300022;f1-f2;0;0;17475;16763;130
9;2;2000003200103300111300021111001110002310223100022;b5-b6x;0;0;17412;16763;63
10;2;2000003200103300111300002111001110002310223100022;c4-d4x;1;0;17345;16763;67
11;2;2000003200103300111300002111001110000310223200022;b6-b7x;2;0;17132;16763;213
12;2;2000003200103300111300000211001110000310223200022;d4-e4x;3;0;16840;16763;292
13;2;2000003200103300111300000021001110000310223200022;e4-f4x;4;0;15871;16763;969
14;2;2000003200103300111300000002001110000310223200022;f4-g4x;5;0;14190;16763;1681
15;3;2000003200103300111300000002001110000310223200220;g7-f7;5;0;11351;16763;2839
16;2;2000003200103300111300000002001110030310220200220;a7-a6;5;0;11351;13410;3353
17;3;2000003200103300111300000002001110030310220200022;e7-f7;5;0;9080;13410;2271
18;2;2000003200100300111300000032001110030310220200022;f2-f3;5;0;9080;10727;2683
19;3;2000003200100300111320000030001110030310220200022;g4-g3;5;0;8876;10727;204
20;2;2000003200100300111320000030001110003310220200022;a6-b6;5;0;8876;10575;152
21;2;2000003200100200111300000030001110003310220200022;g3-g2x;5;0;8868;10575;8
22;3;2000003200100200111300000030001110003310222000022;b7-a7;5;0;8811;10575;57
23;2;2000003200100201113000000030001110003310222000022;f3-e3;5;0;8811;10352;223
24;3;2000003200100201113000000030001110203310222000020;g7-g6;5;0;8687;10352;124
