MoveNr;activePlayer;fieldString;lastMove;bulletsCapturedWhite;bulletsCapturedBlack;timeRemainingWhite;timeRemainingBlack;timeUsedForLastMove
1;2;2200033220103300111000111110001110033010223300022;;0;0;20000;20000
2;3;0200033220103320111000111110001110033010223300022;a1-a2;0;0;19535;20000;465
3;2;0200003220103320111300111110001110033010223300022;f1-f2;0;0;19535;17579;2421
4;3;0200003022103320111300111110001110033010223300022;a2-b2;0;0;18451;17579;1084
5;2;0200003022103320111300111110031110033010223000022;b7-b6;0;0;18451;16136;1443
6;3;2000003022103320111300111110031110033010223000022;b1-a1;0;0;15719;16136;2732
7;2;2000003022100320111300111130031111033010223000022;f2-f3;0;0;15719;13998;2138
8;3;2000003022103320111300111110031112033010223000002;f7-f6;0;0;15219;13998;500
9;2;2000003022103321111300311110031112030010223000002;b6-b5;0;0;15219;11871;2127
10;3;2000003022103302111130311110031112030010223000002;a3-b3;0;0;12390;11871;2829
11;2;2200003022103303111130311110001112030010223000002;b5-b4;0;0;12390;10713;1158
12;3;2200003002213303111130311110001112030010223000002;b2-c2;0;0;11945;10713;445
13;2;2200003002210303111330311110001111030010223000022;f2-f3;0;0;11945;10013;700
14;3;2200003000221303111330311110001111030010223000022;c2-d2;0;0;11772;10013;173
15;2;2200003000221303111330031111001111030010223000022;b4-c4;0;0;11772;9149;864
16;2;2200003000022103111330031111001111030010223000022;d2-e2x;0;0;11761;9149;11
17;3;2200023000023103111130031111001112030010223000002;f7-f6;0;0;11730;9149;31
18;3;2200023000023103111130003111001112030010223000002;c4-d4x;0;1;11730;9141;8
19;3;2200023000023103111130000311001112030010223000002;d4-e4x;0;2;11730;9130;11
20;3;2200023000023103111130000031001112030010223000002;e4-f4x;0;3;11730;9066;64
21;3;2200023000023103111130000003001112030010223000002;f4-g4x;0;4;11730;8794;272
22;2;2200023030023100111130000003001112030010223000002;b3-b2;0;4;11730;7741;1053
23;3;2000023020023103111130000003001112030010223000002;b1-b2;0;4;10997;7741;733
24;2;2000230020023103111130000003001112030010223000002;g1-f1;0;4;10997;6192;1549
25;3;2000230020023103111130000023001112030010023000002;f6-f5;0;4;8797;6192;2200
26;2;2000230020023103111130000230001112030010023000002;g4-f4;0;4;8797;4953;1239
27;2;2000230020002303111130000230001112030010023000002;e2-f2x;1;4;8122;4953;675
28;2;2000230020000203111130000230001112030010023000002;f2-g2x;1;4;7281;4953;841
